ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
104,khispi,ant,,kʰ e + tɕʰ ɔ k,,,
105,khispi,armhand,,h u t,,,
106,khispi,ash,,tɕʰ u + pʰ a,,,
107,khispi,big,,ɔ + d ɔ k,,,
108,khispi,bird,,w̥ a,,,
109,khispi,bite,,z ɛ k,,,
110,khispi,bitter,,tɕʰ a k + b a,,,
111,khispi,black,,u + tɕʰ a m,,,
112,khispi,blood,,h ɔ j,,,
113,khispi,bone,,ɕ a + kʰ u s,,,
114,khispi,breast,,ɲ u,,,
115,khispi,toburnit,,h a j,,,
116,khispi,tocarryonback,,b u,,,
117,khispi,cloud,,t ɔ ŋ + t i,,,
118,khispi,tocryweep,,kʰ i p,,,
119,khispi,todie,,i,,,
120,khispi,todomake,,l i,,,
121,khispi,dog,,w a + tʰ i,,,
122,khispi,drink,,ɲ i ŋ,,,
123,khispi,dry,,ɔ + w a l,,,
124,khispi,ear,,kʰ u + tʰ u ŋ,,,
125,khispi,eat,,tɕʰ a,,,
126,khispi,egg,,ɔ + g ɔ ŋ,,,
127,khispi,eye,,kʰ u + m ɔː,,,
128,khispi,far,,tʰ a + u + l i ŋ,,,
129,khispi,fat,,ɔ + j u,,,
130,khispi,fingernail,,h u t + ts i n,,,
131,khispi,fire,,b e j,,,
132,khispi,fish,,ŋ a,,,
133,khispi,fleshmeat,,ɕ a,,,
134,khispi,tofly,,ɕ ɛ l,,,
135,khispi,full,,p ɕ i ŋ + b a,,,
136,khispi,togive,,ɕ i,,,
137,khispi,togo,,w a,,,
138,khispi,good,,n a k + p a,,,
139,khispi,haironhead,,kʰ u + ɕ a ŋ,,,
140,khispi,hard,,k a k t a l,,,
141,khispi,head,,kʰ ɔ + l ɔ k,,,
142,khispi,tohear,,kʰ a + l a,,,
143,khispi,heavy,,u + l i,,,
144,khispi,tohide,,u k,,,
145,khispi,tokill,,a t,,,
146,khispi,horn,,kʰ ɛ ŋ,,,
147,khispi,house,,w a m,,,
148,khispi,in,,n a ŋ,,,
149,khispi,knee,,k ɔː l ɔ k + p a,,,
150,khispi,toknow,,d ɛ n,,,
151,khispi,tolaugh,,ʑ e j,,,
152,khispi,leaf,,u + l a p,,,
153,khispi,legfoot,,l e j,,,
154,khispi,liver,,ɕ a p + ɕ i n,,,
155,khispi,long,,u + l i ŋ,,,
156,khispi,louse,,h ɛ k,,,
157,khispi,moon,,n a m + b a,,,
158,khispi,mouth,,h ɔ + tɕ ɔ,,,
159,khispi,name,,b i ŋ,,,
160,khispi,navel,,b ɔː + d i,,,
161,khispi,neck,,h ɛ n + tʰ ɔ ŋ,,,
162,khispi,new,,ɔ + h a n,,,
163,khispi,nose,,h ɛ m + pʰ ɔ ŋ,,,
164,khispi,not,,b a,,,
165,khispi,oldofthings,,ɔ + m ɛ n,,,
166,khispi,one,,h i n,,,
167,khispi,path,,h u m a,,,
168,khispi,rain,,n a + m u,,,
169,khispi,red,,ɔ + h ɛ k,,,
170,khispi,root,,h i ŋ ŋ a + l e j,,,
171,khispi,torun,,d u l,,,
172,khispi,salt,,h a,,,
173,khispi,sand,,b e ts a,,,
174,khispi,tosay,,i n,,,
175,khispi,tosee,,a j,,,
176,khispi,tosit,,dʑ u,,,
177,khispi,skinhide,,ɕ a + kʰ ɔ k,,,
178,khispi,tosleep,,m i n,,,
179,khispi,small,,ɕ a + d a,,,
180,khispi,smoke,,b u + kʰ u,,,
181,khispi,stand,,kʰ i ŋ,,,
182,khispi,star,,k a l m a,,,
183,khispi,stonerock,,l u ŋ,,,
184,khispi,sun,,n a + m i,,,
185,khispi,sweet,,ɔ + b e j + d a,,,
186,khispi,tail,,ɲ u j,,,
187,khispi,totake,,tʰ ɔ n,,,
188,khispi,thick,,ɔ + tʰ ɛ s,,,
189,khispi,this,,u + tɕʰ i,,,
190,khispi,tongue,,l u j,,,
191,khispi,tooth,,ɕ i n + t u ŋ,,,
192,khispi,water,,kʰ a w,,,
193,khispi,what,,a + b e,,,
194,khispi,white,,j a ŋ + k a l,,,
195,khispi,who,,m i,,,
196,khispi,wind,,n a m + s u ŋ,,,
197,khispi,wing,,ɲ u j + pʰ a,,,
198,khispi,woman,,dʑ u + m u,,,
199,khispi,wood,,h i ŋ,,,
200,khispi,yesterday,,d i + j u,,,
201,rupa,1sg,,g u,,,
202,rupa,2sg,,n a ŋ,,,
203,rupa,3sg,,w a,,,
204,rupa,ant,,s a n + dʑ ɔ k,,,
205,rupa,armhand,,i k,,,
206,rupa,ash,,tɕʰ a + pʰ l uː,,,
207,rupa,big,,a + d ɔ k,,,
208,rupa,bird,,h u,,,
209,rupa,bite,,z ɛ k,,,
210,rupa,bitter,,tɕʰ ɐ k,,,
211,rupa,black,,a + tɕʰ ũː,,,
212,rupa,blood,,h aː,,,
213,rupa,bone,,s + k i k,,,
214,rupa,breast,,ɲ y ŋ,,,
215,rupa,toburnit,,h aː,,,
216,rupa,tocarryonback,,b yː,,,
217,rupa,cloud,,s + t y,,,
218,rupa,tocryweep,,kʰ e,,,
219,rupa,todie,,iː,,,
220,rupa,todomake,,r a,,,
221,rupa,dog,,b ə + tʰ aː,,,
222,rupa,drink,,l i ŋ,,,
223,rupa,dry,,ɔ + ɔ̃ː,,,
224,rupa,ear,,g ə + tʰ y ŋ,,,
225,rupa,eat,,tsʰ u,,,
226,rupa,egg,,a + j u ŋ,,,
227,rupa,eye,,kʰ a + b y,,,
228,rupa,far,,a + tɕʰ ɔ̃ː,,,
229,rupa,fat,,a + j ɔː,,,
230,rupa,fingernail,,i k + ts i ŋ,,,
231,rupa,fire,,b a,,,
232,rupa,fish,,ɲ u,,,
233,rupa,fleshmeat,,s u,,,
234,rupa,tofly,,tɕʰ a n,,,
235,rupa,full,,pʰ i ŋ + b a,,,
236,rupa,togive,,tɕʰ i,,,
237,rupa,togo,,r ɔ,,,
238,rupa,good,,a + dʑ a p,,,
239,rupa,haironhead,,g ə + z a ŋ,,,
240,rupa,hard,,a + tɕ u,,,
241,rupa,head,,kʰ + r u k,,,
242,rupa,tohear,,j ɔ,,,
243,rupa,heavy,,a + l iː,,,
244,rupa,tohide,,u k,,,
245,rupa,tokill,,ɔ,,,
246,rupa,horn,,kʰ ɛ ŋ,,,
247,rupa,house,,j a m,,,
248,rupa,in,,a + l y ŋ,,,
249,rupa,knee,,l ə + pʰ y k,,,
250,rupa,toknow,,d a n,,,
251,rupa,tolaugh,,z aː,,,
252,rupa,leaf,,a + l a p,,,
253,rupa,legfoot,,l a,,,
254,rupa,liver,,a + tsʰ ɛ̃ː,,,
255,rupa,long,,a + r ɛ ŋ,,,
256,rupa,louse,,h ɛ k,,,
257,rupa,moon,,n a m + b l u,,,
258,rupa,mouth,,n ə + tsʰ a w,,,
259,rupa,name,,a + z ɛ ŋ,,,
260,rupa,navel,,b + r aː,,,
261,rupa,neck,,tʰ u ŋ + ts ɛ̃ː,,,
262,rupa,new,,a + f a n,,,
263,rupa,nose,,n ə + pʰ u ŋ,,,
264,rupa,not,,b ə,,,
265,rupa,oldofthings,,a + m a n,,,
266,rupa,one,,h a n,,,
267,rupa,path,,l ə m u,,,
268,rupa,rain,,n ə + tsʰ uː,,,
269,rupa,red,,ə + h ɛ k,,,
270,rupa,root,,ə + h ĩː,,,
271,rupa,torun,,tɕʰ aː,,,
272,rupa,salt,,h ũː,,,
273,rupa,sand,,m ə + kʰ ɔ,,,
274,rupa,tosay,,a m,,,
275,rupa,tosee,,ɔː,,,
276,rupa,tosit,,dʑ au,,,
277,rupa,skinhide,,s + k u k,,,
278,rupa,tosleep,,dʑ i ŋ,,,
279,rupa,small,,a + tɕ a n + d u,,,
280,rupa,smoke,,b a + kʰ y,,,
281,rupa,stand,,kʰ ĩː,,,
282,rupa,star,,z y k,,,
283,rupa,stonerock,,l ý/y ŋ,,,
284,rupa,sun,,n ə + n yː,,,
285,rupa,sweet,,a + tɕ ĩː,,,
286,rupa,tail,,a + ɲ aː,,,
287,rupa,totake,,tʰ øː,,,
288,rupa,thick,,a + tʰ a t,,,
289,rupa,this,,tʰ w a,,,
290,rupa,tongue,,l aː + pʰ ɔ̃,,,
291,rupa,tooth,,t ɔ k tɕʰ eː,,,
292,rupa,water,,kʰ oː,,,
293,rupa,what,,m u s i + aː,,,
294,rupa,white,,a + z ɔ̃ː,,,
295,rupa,who,,ɲ iː,,,
296,rupa,wind,,n ə + s ɔ m,,,
297,rupa,wing,,n ə + pʰ a ŋ,,,
298,rupa,woman,,dʑ ə + m y,,,
299,rupa,wood,,h i ŋ,,,
300,rupa,yesterday,,d i + j au,,,
301,shergaon,1sg,,g u,,,
302,shergaon,2sg,,n a ŋ,,,
303,shergaon,3sg,,w a,,,
304,shergaon,ant,,s a n + dʑ ɔ k,,,
305,shergaon,armhand,,i k,,,
306,shergaon,ash,,tɕʰ a + pʰ uː,,,
307,shergaon,big,,a + d ɔ k,,,
308,shergaon,bird,,h u,,,
309,shergaon,bite,,z ɛ k,,,
310,shergaon,bitter,,a + tɕʰ a k,,,
311,shergaon,black,,a + tɕʰ ɔ̃ː,,,
312,shergaon,blood,,h aː,,,
313,shergaon,bone,,s + k i t,,,
314,shergaon,breast,,ɲ u ŋ,,,
315,shergaon,toburnit,,h aː,,,
316,shergaon,tocarryonback,,b yː,,,
317,shergaon,cloud,,s i n + t y,,,
318,shergaon,tocryweep,,kʰ e,,,
319,shergaon,todie,,iː,,,
320,shergaon,todomake,,r a,,,
321,shergaon,dog,,pʰ + tʰ aː,,,
322,shergaon,drink,,i ŋ,,,
323,shergaon,dry,,ɔ + ɔ̃ː,,,
324,shergaon,ear,,kʰ ə + tʰ u ŋ + l a p,,,
325,shergaon,eat,,tɕʰ u,,,
326,shergaon,egg,,kʰ l ɔ m,,,
327,shergaon,eye,,kʰ i + b iː,,,
328,shergaon,far,,a + tɕʰ ɔ̃ː,,,
329,shergaon,fat,,a + j ɔː,,,
330,shergaon,fingernail,,i k + tɕ i ŋ,,,
331,shergaon,fire,,b a,,,
332,shergaon,fish,,ɲ u,,,
333,shergaon,fleshmeat,,s u,,,
334,shergaon,tofly,,tɕʰ a n,,,
335,shergaon,full,,pʰ i ŋ + b a,,,
336,shergaon,togive,,kʰ j i,,,
337,shergaon,togo,,r o,,,
338,shergaon,good,,a + dʑ a p,,,
339,shergaon,haironhead,,g ə + z a ŋ,,,
340,shergaon,hard,,a + tɕ u,,,
341,shergaon,head,,kʰ + r u k,,,
342,shergaon,tohear,,j o,,,
343,shergaon,heavy,,a + l iː,,,
344,shergaon,tohide,,u k,,,
345,shergaon,tokill,,o,,,
346,shergaon,horn,,kʰ ɛ ŋ,,,
347,shergaon,house,,j a m,,,
348,shergaon,in,,a + l u ŋ,,,
349,shergaon,knee,,kʰ l ɔ k + p uː,,,
350,shergaon,toknow,,d a n,,,
351,shergaon,tolaugh,,z aː,,,
352,shergaon,leaf,,a + l a p,,,
353,shergaon,legfoot,,l a,,,
354,shergaon,liver,,a + tɕʰ ĩː,,,
355,shergaon,long,,a + r ɛ ŋ,,,
356,shergaon,louse,,h ɛ k,,,
357,shergaon,moon,,n a m + b l u,,,
358,shergaon,mouth,,n ə + tɕʰ a w,,,
359,shergaon,name,,a + z ɛ ŋ,,,
360,shergaon,navel,,b u + t i + m uː,,,
361,shergaon,neck,,t a k r aː,,,
362,shergaon,new,,u + f a n,,,
363,shergaon,nose,,n ə + pʰ u ŋ,,,
364,shergaon,not,,b ə,,,
365,shergaon,oldofthings,,a + m a n,,,
366,shergaon,one,,h a n,,,
367,shergaon,path,,l ə m u,,,
368,shergaon,rain,,ɲ i + m i,,,
369,shergaon,red,,ə + h ɛ k,,,
370,shergaon,root,,r a + b ɔː,,,
371,shergaon,torun,,tɕʰ aː,,,
372,shergaon,salt,,h u ŋ,,,
373,shergaon,sand,,b e ts ɔ,,,
374,shergaon,tosay,,a m,,,
375,shergaon,tosee,,ɔː,,,
376,shergaon,tosit,,dʑ au,,,
377,shergaon,skinhide,,s + k u k,,,
378,shergaon,tosleep,,dʑ i n,,,
379,shergaon,small,,a + tɕ a n + d u,,,
380,shergaon,smoke,,b a + kʰ y,,,
381,shergaon,stand,,kʰ ĩː,,,
382,shergaon,star,,tɕʰ u + z u k,,,
383,shergaon,stonerock,,l u ŋ,,,
384,shergaon,sun,,n ə + n iː,,,
385,shergaon,sweet,,a + tɕ ĩː,,,
386,shergaon,tail,,a + ɲ aː,,,
387,shergaon,totake,,tʰ ɛː,,,
388,shergaon,thick,,a + tʰ ɛ t,,,
389,shergaon,this,,tʰ a,,,
390,shergaon,tongue,,l aː,,,
391,shergaon,tooth,,n ə + tʰ u ŋ,,,
392,shergaon,water,,kʰ oː,,,
393,shergaon,what,,m ə + r aː,,,
394,shergaon,white,,a + z ɔ̃ː,,,
395,shergaon,who,,ɲ iː,,,
396,shergaon,wind,,n ə + s ɔ m,,,
397,shergaon,wing,,l ə + pʰ a ŋ,,,
398,shergaon,woman,,dʑ ə + m i,,,
399,shergaon,wood,,h i ŋ,,,
400,rahung,1sg,,g u,,,
401,rahung,2sg,,n a ŋ,,,
402,rahung,3sg,,h ɛ,,,
403,rahung,3sg,,ʔ ɛ,,,
404,rahung,ant,,s a ŋ + dʑ ɔ k,,,
405,rahung,armhand,,i k,,,
406,rahung,ash,,tɕʰ a + pʰ l uː,,,
407,rahung,big,,a + d ɔ k,,,
408,rahung,bird,,h u,,,
409,rahung,bite,,z ɛ k,,,
410,rahung,bitter,,tɕʰ a k,,,
411,rahung,black,,a + tɕʰ ũː,,,
412,rahung,blood,,h ɛː,,,
413,rahung,bone,,s + k i k,,,
414,rahung,breast,,n y ŋ,,,
415,rahung,toburnit,,h ɛː,,,
416,rahung,tocarryonback,,b yː,,,
417,rahung,cloud,,s y n + t y,,,
418,rahung,tocryweep,,tɕʰ e,,,
419,rahung,todie,,iː,,,
420,rahung,todomake,,r ɛ,,,
421,rahung,todomake,,r a,,,
422,rahung,dog,,pʰ + tʰ ɛː,,,
423,rahung,drink,,l i ŋ,,,
424,rahung,dry,,ɔ + ɔ̃ː,,,
425,rahung,ear,,kʰ + tʰ y ŋ,,,
426,rahung,eat,,tɕʰ u,,,
427,rahung,egg,,a + j u ŋ,,,
428,rahung,eye,,kʰ a + b y,,,
429,rahung,far,,a + tɕʰ ɔ̃ː,,,
430,rahung,fat,,a + j ɔ w,,,
431,rahung,fingernail,,i k + tɕ i ŋ,,,
432,rahung,fire,,b ɛ,,,
433,rahung,fish,,n u,,,
434,rahung,fleshmeat,,s u,,,
435,rahung,tofly,,tɕʰ ɛ m,,,
436,rahung,full,,a + pʰ i ŋ,,,
437,rahung,togive,,tɕʰ i,,,
438,rahung,togo,,r ɔ,,,
439,rahung,good,,a + dʑ a p,,,
440,rahung,haironhead,,g ə + z a ŋ,,,
441,rahung,hard,,a + tɕ u,,,
442,rahung,head,,kʰ + r u k,,,
443,rahung,tohear,,j ɔ̃,,,
444,rahung,heavy,,a + l iː,,,
445,rahung,tohide,,u k,,,
446,rahung,tokill,,ɔ,,,
447,rahung,horn,,tɕʰ ɛ ŋ,,,
448,rahung,house,,j a m,,,
449,rahung,in,,a + l y ŋ,,,
450,rahung,knee,,l a + pʰ i k + kʰ ɔ m,,,
451,rahung,toknow,,d ɛ n,,,
452,rahung,tolaugh,,z ɛː,,,
453,rahung,leaf,,a + r a p,,,
454,rahung,legfoot,,l ɛ,,,
455,rahung,liver,,a + tɕʰ ĩː,,,
456,rahung,long,,a + r ɛ ŋ,,,
457,rahung,louse,,h ɛ k,,,
458,rahung,moon,,n a m + b r u,,,
459,rahung,mouth,,tɕʰ ə + tɕʰ oː,,,
460,rahung,name,,a + dʑ ɛ ŋ,,,
461,rahung,navel,,b + r ɛː,,,
462,rahung,neck,,pʰ + tʰ u ŋ,,,
463,rahung,new,,a + h ɛ n,,,
464,rahung,nose,,m a + pʰ u ŋ,,,
465,rahung,not,,b ə,,,
466,rahung,oldofthings,,a + m ɛ n,,,
467,rahung,one,,h ɛ n,,,
468,rahung,path,,l y m,,,
469,rahung,rain,,pʰ + tɕʰ u,,,
470,rahung,red,,ə + h ɛ k,,,
471,rahung,root,,i + h ĩː,,,
472,rahung,torun,,tɕ ɛː,,,
473,rahung,salt,,h ũ ŋ,,,
474,rahung,sand,,kʰ ə + b ɔ,,,
475,rahung,tosay,,a n,,,
476,rahung,tosee,,ɔː,,,
477,rahung,tosit,,dʑ o,,,
478,rahung,skinhide,,s + k u k,,,
479,rahung,tosleep,,dʑ i ŋ,,,
480,rahung,small,,tɕ ɔ̃ː + d u,,,
481,rahung,smoke,,b a + kʰ y,,,
482,rahung,stand,,tɕʰ ĩː,,,
483,rahung,star,,tɕʰ y ŋ + z y k,,,
484,rahung,stonerock,,r ý/y ŋ,,,
485,rahung,sun,,n ə + m iː,,,
486,rahung,sweet,,tɕ ĩː,,,
487,rahung,tail,,a + n ɛʰ/ɛ,,,
488,rahung,totake,,tʰ ɛ n,,,
489,rahung,thick,,a + tʰ ɛ,,,
490,rahung,this,,tʰ ə,,,
491,rahung,tongue,,l ɛː,,,
492,rahung,tooth,,pʰ + tʰ y ŋ,,,
493,rahung,water,,kʰ oː,,,
494,rahung,water,,kʰ o w,,,
495,rahung,what,,pʰ + tɕʰ ɔ̃ː + w aː,,,
496,rahung,white,,a + z ɔ̃ː,,,
497,rahung,who,,m iː,,,
498,rahung,wind,,p + s ø m,,,
499,rahung,wing,,m ə + pʰ a ŋ,,,
500,rahung,woman,,dʑ ə + m y,,,
501,rahung,wood,,h i ŋ,,,
502,rahung,yesterday,,dʑ ɔ + h ɔː,,,
503,rahung,yesterday,,dʑ oː,,,
504,khoitam,1sg,,g u,,,
505,khoitam,2sg,,n a ŋ,,,
506,khoitam,3sg,,w a + dʑ i,,,
507,khoitam,ant,,s a ŋ + dʑ ɔ k,,,
508,khoitam,armhand,,i k,,,
509,khoitam,ash,,tɕʰ a + pʰ l uː,,,
510,khoitam,big,,a + d ɔ k,,,
511,khoitam,bird,,h u,,,
512,khoitam,bite,,z ɛ k,,,
513,khoitam,bitter,,tɕʰ a k,,,
514,khoitam,black,,a + tɕʰ ũː,,,
515,khoitam,blood,,h ɛː,,,
516,khoitam,bone,,s ə + k i k,,,
517,khoitam,bone,,s + k i k,,,
518,khoitam,breast,,n y ŋ,,,
519,khoitam,toburnit,,h ɛː,,,
520,khoitam,tocarryonback,,b yː,,,
521,khoitam,cloud,,s y ŋ + t y,,,
522,khoitam,tocryweep,,tɕʰ e,,,
523,khoitam,todie,,iː,,,
524,khoitam,todomake,,r ɛ,,,
525,khoitam,dog,,pʰ + tʰ ɛː,,,
526,khoitam,drink,,l i ŋ,,,
527,khoitam,dry,,y k + ãː,,,
528,khoitam,ear,,kʰ + tʰ y ŋ,,,
529,khoitam,eat,,tɕʰ u,,,
530,khoitam,egg,,a + j u ŋ,,,
531,khoitam,eye,,kʰ a + b y,,,
532,khoitam,far,,a + tɕʰ ɔ̃ː,,,
533,khoitam,fat,,a + j ɔː,,,
534,khoitam,fingernail,,i k + ts i ŋ,,,
535,khoitam,fire,,b ɛ,,,
536,khoitam,fish,,n u,,,
537,khoitam,fleshmeat,,s u,,,
538,khoitam,tofly,,tɕʰ a n,,,
539,khoitam,full,,a + pʰ i ŋ,,,
540,khoitam,togive,,tɕʰ i,,,
541,khoitam,togo,,r ɔ,,,
542,khoitam,good,,a + dʑ a p,,,
543,khoitam,haironhead,,g ə + z a ŋ,,,
544,khoitam,hard,,a + tɕ u,,,
545,khoitam,head,,kʰ + r u k,,,
546,khoitam,tohear,,j ɔ̃,,,
547,khoitam,heavy,,a + l iː,,,
548,khoitam,tohide,,u k,,,
549,khoitam,tokill,,ɔ,,,
550,khoitam,horn,,tɕʰ ɛ ŋ,,,
551,khoitam,house,,j a m,,,
552,khoitam,in,,a + l y ŋ,,,
553,khoitam,knee,,l ə + pʰ i k + kʰ ɔ m,,,
554,khoitam,toknow,,d ɛ n,,,
555,khoitam,tolaugh,,z ɛː,,,
556,khoitam,leaf,,a + r a p,,,
557,khoitam,legfoot,,l ɛ,,,
558,khoitam,liver,,s ə + s ĩː,,,
559,khoitam,long,,a + r ɛ ŋ,,,
560,khoitam,louse,,h ɛ k,,,
561,khoitam,moon,,n a m + b l u,,,
562,khoitam,mouth,,tɕʰ ə + s ɔː,,,
563,khoitam,name,,a + dʑ ɛ ŋ,,,
564,khoitam,navel,,b + r ɛː,,,
565,khoitam,neck,,n ə + tʰ u ŋ,,,
566,khoitam,new,,a + f a n,,,
567,khoitam,nose,,n ə + pʰ u ŋ,,,
568,khoitam,not,,b ə,,,
569,khoitam,oldofthings,,a + m a n,,,
570,khoitam,one,,h a n,,,
571,khoitam,path,,l y m,,,
572,khoitam,rain,,n ə + tɕʰ u,,,
573,khoitam,red,,ə + h ɛ k,,,
574,khoitam,root,,a + h ĩː,,,
575,khoitam,torun,,r i ŋ,,,
576,khoitam,salt,,h u ŋ,,,
577,khoitam,sand,,kʰ ə + pʰ ɔ,,,
578,khoitam,tosay,,a n,,,
579,khoitam,tosee,,n ũː,,,
580,khoitam,tosit,,dʑ ɔː,,,
581,khoitam,skinhide,,s + k u k,,,
582,khoitam,tosleep,,dʑ i ŋ,,,
583,khoitam,small,,a + dʑ a n + d u,,,
584,khoitam,smoke,,b a + kʰ y,,,
585,khoitam,stand,,tɕʰ ĩː,,,
586,khoitam,star,,tɕʰ y ŋ + z y k,,,
587,khoitam,stonerock,,r ý/y ŋ,,,
588,khoitam,sun,,n ə + m iː,,,
589,khoitam,sweet,,tɕ ĩː,,,
590,khoitam,tail,,a + n ɛʰ/ɛ,,,
591,khoitam,totake,,tʰ ĩː,,,
592,khoitam,thick,,a + tʰ ɛ,,,
593,khoitam,this,,tʰ ɛː,,,
594,khoitam,tongue,,l ɛː,,,
595,khoitam,tooth,,n ə + tʰ y ŋ,,,
596,khoitam,water,,kʰ ɔː,,,
597,khoitam,water,,kʰ oː,,,
598,khoitam,what,,a + t i + j aː,,,
599,khoitam,white,,a + z ɔ̃ː,,,
600,khoitam,who,,m iː,,,
601,khoitam,wind,,n y + s ɔ m,,,
602,khoitam,wing,,n ə + pʰ a ŋ,,,
603,khoitam,woman,,dʑ ə + m y,,,
604,khoitam,wood,,h i ŋ,,,
605,khoitam,yesterday,,dʑ y + j ɔː,,,
606,jerigaon,1sg,,g u,,,
607,jerigaon,2sg,,n a ŋ,,,
608,jerigaon,3sg,,w a,,,
609,jerigaon,ant,,s a n + dʑ ɔ k,,,
610,jerigaon,armhand,,i k,,,
611,jerigaon,ash,,tɕʰ a + pʰ l uː,,,
612,jerigaon,big,,a + d ɔ k,,,
613,jerigaon,bird,,h u,,,
614,jerigaon,bite,,z ɛ k,,,
615,jerigaon,bitter,,tɕʰ a k,,,
